OTUID	A11	A12	A13	A21	A22	A23	AD11	AD12	AD13	AD21	AD22	AD23	CK11	CK12	CK13	CK21	CK22	CK23	DA11	DA12	DA13	DA21	DA22	DA23
NCBI2814655	0	0	0	0	8	4	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	1	0	0
NCBI28151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI2815343	5	8	8	5	0	2	0	4	7	0	4	0	4	6	5	13	6	5	2	15	4	4	14	3
NCBI2815360	0	108	429	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	0	44	0
NCBI2815577	0	0	0	0	0	2	1	0	0	6	18	78	0	0	0	0	3	0	0	0	0	0	2	0
NCBI2815936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0
NCBI2816454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	499	0	0	0
NCBI2816475	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
NCBI2816908	0	0	0	0	0	2	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI2816912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0
NCBI2816950	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	4	5
NCBI28171	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI28172	0	0	0	6	10	0	0	0	0	8	5	12	0	0	0	0	0	0	0	0	0	0	0	0
NCBI28173	8	4	9	8	10	2	2	14	4	4	2	2	0	0	0	0	0	0	0	2	6	0	0	0
NCBI281738	0	0	0	0	0	0	0	0	0	0	0	252	0	0	0	0	0	0	0	0	0	0	0	0
NCBI2817475	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0
NCBI2817656	4	1	30	11	7	3	0	0	1	1	7	25	2	8	5	2	3	1	2	2	0	1	2	0
NCBI28181	0	0	0	0	0	0	0	0	0	0	2213	1299	0	0	0	0	0	0	0	0	0	0	0	0
NCBI2818388	1	0	0	5	2	6	0	0	1	3	2	2	1	0	0	2	2	1	0	0	0	2	5	0
NCBI2818493	2448	1828	2397	148	140	68	1722	2277	3021	68	99	111	423	246	276	39	69	55	223	308	236	64	42	107
NCBI28188	0	0	0	0	4	1	0	0	0	1	4	1	0	0	0	0	0	3	0	0	1	8	0	1
NCBI2819238	159	142	357	37	149	133	204	286	277	51	44	29	196	184	221	85	117	120	204	97	174	84	82	53
NCBI2819280	4	7	8	3	7	17	0	7	3	11	3	4	9	5	9	24	11	7	9	2	9	34	10	15
NCBI2819349	826	776	2729	1949	3931	5186	708	2853	1181	1769	1147	649	915	1316	538	1237	1102	647	1023	122	971	1435	1856	2098
NCBI28197	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	3	0	6
NCBI28198	107	141	200	17	13	63	54	41	0	26	86	93	27	140	122	34	20	41	55	27	0	54	47	39
NCBI28199	0	0	0	7	0	0	0	0	0	0	6	3	0	0	0	0	0	2	0	0	0	0	0	0
NCBI2819933	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	6	7
NCBI2819994	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	9	0	0	0	0	0	0	0	0
NCBI28200	0	0	13	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	26	0	3	0
NCBI2820270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	3	18
NCBI2820278	3	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
NCBI2820523	1207	1448	2445	171	542	1283	1899	1165	2045	180	98	104	4641	5473	4120	783	313	485	3187	3620	4650	210	295	335
NCBI2820661	249	222	292	1021	908	404	275	229	238	546	830	586	286	293	234	378	342	500	200	193	256	273	173	528
NCBI2820673	0	0	166	20	0	56	0	186	0	17	0	0	65	59	0	0	53	0	188	0	0	0	14	16
NCBI2820710	0	2	0	0	0	0	3	2	0	0	0	0	0	0	0	0	4	2	0	0	0	0	2	0
NCBI2821140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
